id,label,recruit_quota,applied_region
001012,中國文學系,21,"台北x23, 新北x4, 桃園x5, 新竹x6, 台中x11, 南投x1, 彰化x5, 雲林x1, 嘉義x4, 台南x3, 高雄x7, 屏東x2, 澎湖x7"
001602,護理學系(公費生),2,"台北x3, 桃園x1, 新竹x1, 台中x1, 宜蘭x1"
001592,生化科技學系,20,"台北x29, 新北x5, 基隆x1, 桃園x3, 新竹x2, 台中x3, 彰化x2, 雲林x1, 嘉義x1, 台南x1, 高雄x7, 澎湖x2"
001582,生命科學系,18,"台北x29, 新北x3, 桃園x2, 新竹x2, 台中x10, 嘉義x1, 台南x2, 高雄x4, 宜蘭x1"
001572,法律學系財經法學組,17,"台北x21, 桃園x1, 台中x3, 彰化x1, 台南x2, 高雄x5, 花蓮x2, 澎湖x2"
001562,法律學系司法組,17,"台北x24, 新北x1, 桃園x1, 台中x2, 彰化x2, 嘉義x1, 台南x3, 高雄x7, 宜蘭x1, 花蓮x1, 澎湖x6"
001552,法律學系法學組,16,"台北x23, 新北x2, 桃園x2, 台中x6, 彰化x3, 嘉義x1, 台南x2, 高雄x4, 宜蘭x1, 花蓮x1"
001542,資訊工程學系,74,"台北x105, 新北x13, 基隆x3, 桃園x14, 中壢x10, 新竹x17, 台中x23, 南投x1, 彰化x9, 雲林x2, 嘉義x2, 台南x10, 高雄x19, 屏東x3, 宜蘭x2, 花蓮x2, 澎湖x6, 金門x4"
001532,電機工程學系,94,"台北x105, 新北x14, 桃園x12, 中壢x4, 新竹x27, 苗栗x1, 台中x29, 彰化x3, 雲林x2, 嘉義x8, 台南x14, 高雄x22, 屏東x1, 宜蘭x2, 花蓮x3, 金門x1"
001522,公共衛生學系,21,"台北x37, 新北x6, 桃園x1, 中壢x2, 新竹x1, 苗栗x1, 台中x7, 彰化x4, 雲林x2, 嘉義x1, 台南x8, 高雄x6, 宜蘭x1, 花蓮x1"
001512,資訊管理學系,35,"台北x55, 新北x5, 基隆x2, 桃園x4, 新竹x6, 台中x9, 彰化x1, 嘉義x1, 台南x3, 高雄x5, 屏東x1, 花蓮x3"
001502,國際企業學系,47,"台北x55, 新北x1, 桃園x5, 中壢x2, 新竹x9, 台中x14, 彰化x2, 嘉義x1, 台南x5, 高雄x6, 宜蘭x2, 澎湖x6, 金門x4"
001492,財務金融學系,47,"台北x53, 新北x2, 桃園x4, 中壢x1, 新竹x7, 台中x10, 彰化x3, 嘉義x1, 台南x4, 高雄x7, 宜蘭x2, 花蓮x1, 澎湖x8, 金門x6"
001482,會計學系,43,"台北x47, 新北x5, 桃園x7, 中壢x4, 新竹x9, 台中x18, 南投x1, 彰化x2, 嘉義x2, 台南x8, 高雄x10, 宜蘭x2"
001472,工商管理學系科技管理組,21,"台北x32, 新北x4, 桃園x1, 中壢x2, 新竹x3, 台中x7, 台南x1, 高雄x6"
001462,工商管理學系企業管理組,25,"台北x43, 新北x6, 桃園x2, 中壢x1, 新竹x5, 台中x11, 彰化x1, 台南x2, 高雄x5, 宜蘭x2"
001452,植物病理與微生物學系,9,"台北x16, 新北x2, 桃園x2, 中壢x1, 新竹x1, 苗栗x1, 台中x4, 彰化x1, 嘉義x1, 台南x1, 高雄x2, 屏東x2"
001442,昆蟲學系,11,"台北x13, 新北x3, 桃園x3, 中壢x1, 新竹x2, 台中x3, 彰化x2, 嘉義x1, 高雄x1, 屏東x1, 花蓮x1, 台東x1"
001432,生物產業機電工程學系,14,"台北x33, 新北x2, 桃園x2, 新竹x2, 台中x5, 彰化x1, 台南x2, 高雄x3"
001422,生物產業傳播暨發展學系,18,"台北x38, 新北x5, 桃園x1, 中壢x2, 新竹x1, 台中x3, 彰化x1, 雲林x2, 台南x2, 高雄x1, 花蓮x1"
001412,獸醫學系,26,"台北x21, 新北x5, 桃園x3, 中壢x3, 新竹x2, 台中x9, 南投x1, 彰化x2, 雲林x2, 嘉義x2, 台南x6, 高雄x2"
001402,園藝暨景觀學系,26,"台北x46, 新北x6, 基隆x2, 桃園x3, 中壢x3, 新竹x7, 台中x15, 南投x1, 彰化x5, 雲林x1, 嘉義x4, 台南x4, 高雄x4, 花蓮x1, 澎湖x7"
001392,農業經濟學系,17,"台北x33, 新北x2, 新竹x1, 台中x10, 彰化x2, 高雄x5"
001382,動物科學技術學系,8,"台北x14, 新北x3, 桃園x1, 苗栗x1, 台中x2, 台南x1, 宜蘭x1, 花蓮x1"
001372,森林環境暨資源學系,41,"台北x55, 新北x6, 基隆x1, 桃園x2, 中壢x1, 新竹x6, 台中x13, 南投x4, 彰化x3, 雲林x1, 嘉義x2, 台南x4, 高雄x9, 屏東x3, 宜蘭x2, 花蓮x3, 金門x6"
001362,農業化學系,15,"台北x29, 新北x8, 基隆x3, 桃園x1, 中壢x2, 新竹x2, 台中x5, 南投x1, 彰化x3, 台南x6, 高雄x5"
001352,生物環境系統工程學系,23,"台北x30, 新北x3, 桃園x5, 中壢x2, 新竹x2, 苗栗x1, 台中x6, 南投x1, 彰化x3, 台南x5, 高雄x8, 花蓮x2, 台東x1"
001342,農藝學系,17,"台北x32, 新北x2, 桃園x3, 中壢x1, 新竹x4, 苗栗x1, 台中x8, 彰化x7, 台南x4, 高雄x3, 屏東x1, 花蓮x2"
001332,材料科學與工程學系,37,"台北x60, 新北x10, 桃園x6, 中壢x1, 新竹x12, 台中x15, 彰化x3, 嘉義x2, 台南x4, 高雄x11, 宜蘭x1, 花蓮x1"
001322,工程科學及海洋工程學系,32,"台北x56, 新北x5, 基隆x1, 桃園x4, 中壢x2, 新竹x6, 台中x8, 雲林x1, 嘉義x1, 台南x7, 高雄x5, 宜蘭x1, 花蓮x1"
001312,化學工程學系,83,"台北x101, 新北x17, 基隆x5, 桃園x11, 中壢x5, 新竹x26, 台中x27, 彰化x7, 雲林x3, 嘉義x3, 台南x25, 高雄x22, 宜蘭x2, 花蓮x3, 澎湖x3, 金門x5"
001302,機械工程學系,102,"台北x125, 新北x16, 基隆x3, 桃園x7, 中壢x8, 新竹x21, 台中x37, 南投x3, 彰化x3, 雲林x1, 嘉義x5, 台南x18, 高雄x11, 屏東x2, 宜蘭x5, 花蓮x2, 澎湖x2"
001292,土木工程學系,74,"台北x101, 新北x14, 基隆x4, 桃園x5, 中壢x7, 新竹x3, 苗栗x1, 台中x22, 南投x3, 彰化x3, 雲林x1, 台南x15, 高雄x12, 屏東x1, 花蓮x4, 台東x1, 澎湖x2, 金門x2"
001282,職能治療學系,15,"台北x28, 新北x7, 基隆x2, 桃園x1, 中壢x3, 新竹x2, 台中x5, 彰化x1, 嘉義x1, 台南x4, 高雄x2, 宜蘭x2, 金門x10"
001272,物理治療學系,19,"台北x43, 新北x4, 桃園x1, 中壢x3, 新竹x4, 台中x5, 彰化x1, 台南x2, 高雄x5, 屏東x1, 金門x5"
001262,護理學系,14,"台北x20, 新北x5, 桃園x1, 中壢x3, 新竹x1, 台中x3, 彰化x2, 雲林x1, 台南x1, 高雄x2, 宜蘭x1, 花蓮x1, 金門x3"
001252,醫學檢驗暨生物技術學系,9,"台北x8, 新北x2, 桃園x2, 台中x3, 彰化x1, 雲林x1, 台南x2, 高雄x2, 澎湖x7, 金門x6"
001242,藥學系,17,"台北x15, 新北x4, 桃園x4, 中壢x2, 新竹x4, 台中x4, 嘉義x1, 台南x2, 高雄x4, 澎湖x7, 金門x8"
001232,牙醫學系,10,"台北x6, 新北x2, 桃園x3, 新竹x2, 苗栗x1, 台中x2, 雲林x1, 嘉義x2, 台南x3, 高雄x4, 澎湖x4, 金門x5"
001222,醫學系,35,"台北x31, 新北x4, 中壢x3, 新竹x1, 台中x13, 南投x1, 彰化x2, 嘉義x5, 台南x8, 高雄x15"
001212,社會工作學系,23,"台北x24, 新北x3, 桃園x3, 中壢x3, 新竹x2, 苗栗x1, 台中x5, 南投x1, 彰化x1, 嘉義x1, 台南x2, 高雄x1, 屏東x1, 宜蘭x1, 花蓮x2, 澎湖x4, 金門x1, 馬祖x7"
001202,社會學系,11,"台北x15, 新北x2, 基隆x1, 桃園x2, 新竹x4, 台中x5, 台南x1, 高雄x1"
001192,經濟學系,48,"台北x63, 新北x15, 基隆x1, 桃園x4, 中壢x3, 新竹x6, 台中x10, 彰化x5, 嘉義x3, 台南x13, 高雄x13, 宜蘭x3, 花蓮x5"
001182,政治學系公共行政組,13,"台北x15, 新北x3, 基隆x1, 桃園x2, 中壢x1, 新竹x2, 台中x5, 南投x1, 彰化x2, 台南x2, 高雄x3, 澎湖x6"
001172,政治學系國際關係組,12,"台北x18, 新北x4, 桃園x4, 中壢x1, 台中x6, 南投x1, 彰化x2, 台南x3, 高雄x5, 台東x1"
001162,政治學系政治理論組,12,"台北x13, 新北x4, 基隆x1, 桃園x5, 新竹x4, 台中x2, 南投x1, 彰化x1, 嘉義x1, 台南x3, 高雄x2, 宜蘭x1"
001152,大氣科學系,16,"台北x21, 新北x1, 桃園x4, 中壢x2, 新竹x1, 台中x5, 彰化x2, 雲林x1, 台南x6, 高雄x6, 屏東x2, 澎湖x1"
001142,地理環境資源學系,16,"台北x23, 新北x2, 桃園x1, 苗栗x1, 台中x10, 彰化x2, 雲林x1, 嘉義x2, 台南x6, 高雄x3, 花蓮x1, 金門x4"
001132,心理學系,15,"台北x21, 新北x1, 桃園x1, 新竹x2, 台中x3, 彰化x1, 嘉義x1, 台南x5, 高雄x3, 宜蘭x1, 花蓮x1, 澎湖x10, 金門x4"
001122,地質科學系,22,"台北x40, 新北x1, 桃園x3, 中壢x1, 新竹x4, 台中x7, 南投x1, 彰化x2, 雲林x1, 嘉義x2, 台南x6, 高雄x5, 宜蘭x1, 台東x1"
001112,化學系,34,"台北x47, 新北x4, 基隆x1, 桃園x7, 中壢x2, 新竹x7, 台中x9, 彰化x2, 雲林x1, 台南x5, 高雄x10, 屏東x1, 宜蘭x1, 花蓮x2, 澎湖x1"
001102,物理學系,34,"台北x46, 新北x7, 桃園x4, 中壢x1, 新竹x5, 苗栗x1, 台中x15, 南投x1, 彰化x2, 嘉義x2, 台南x3, 高雄x11, 宜蘭x1, 澎湖x1, 金門x3"
001092,數學系,25,"台北x33, 新北x4, 基隆x1, 桃園x3, 中壢x6, 新竹x3, 台中x7, 彰化x4, 嘉義x2, 台南x4, 高雄x4, 屏東x1, 馬祖x2"
001082,戲劇學系,13,"台北x27, 新北x5, 桃園x5, 新竹x3, 台中x12, 彰化x2, 雲林x1, 嘉義x1, 台南x4, 高雄x3, 屏東x3, 花蓮x1"
001072,日本語文學系,17,"台北x17, 新北x2, 桃園x1, 中壢x2, 新竹x3, 苗栗x1, 台中x9, 嘉義x1, 台南x2, 高雄x3, 澎湖x3, 馬祖x1"
001062,圖書資訊學系,21,"台北x28, 新北x4, 桃園x1, 中壢x1, 新竹x8, 苗栗x1, 台中x11, 彰化x1, 雲林x1, 嘉義x1, 台南x9, 高雄x6, 花蓮x1, 澎湖x3, 金門x5"
001052,人類學系,10,"台北x13, 基隆x2, 新竹x1, 台中x2, 彰化x1, 台南x1, 高雄x1, 金門x1"
001042,哲學系,20,"台北x38, 新北x2, 基隆x2, 桃園x3, 新竹x4, 台中x4, 彰化x1, 台南x3, 高雄x1, 屏東x1, 花蓮x1"
001032,歷史學系,25,"台北x32, 新北x6, 桃園x2, 中壢x2, 新竹x4, 台中x10, 彰化x1, 雲林x2, 嘉義x1, 台南x6, 高雄x8, 花蓮x1, 金門x4"
001022,外國語文學系,50,"台北x42, 新北x10, 基隆x2, 桃園x4, 新竹x7, 苗栗x2, 台中x9, 彰化x3, 雲林x1, 嘉義x3, 台南x4, 高雄x12, 宜蘭x2, 台東x1, 澎湖x7, 金門x2"
